#MJD,index_lag_1,index_lag_2,index_lag_3,index_lag_4,index_lag_5,index_lag_6,index_rolling_mean_7,index_rolling_std_7,flux_lag_1,flux_lag_2,flux_lag_3,flux_lag_4,flux_lag_5,flux_lag_6,flux_rolling_mean_7,flux_rolling_std_7
55806.49998842592,2.27,2.98,3.48,3.0,2.49,3.28,2.89,0.43,-7.046240308266771,-7.092588639225414,-7.018634490921456,-7.120330794367947,-7.048662481204082,-6.823908740944319,-7.04,0.1
55813.49998842592,2.72,2.27,2.98,3.48,3.0,2.49,2.78,0.41,-7.100726812682396,-7.046240308266771,-7.092588639225414,-7.018634490921456,-7.120330794367947,-7.048662481204082,-7.07,0.04
55834.49998842592,2.52,2.72,2.27,2.98,3.48,3.0,2.79,0.4,-7.087246696328677,-7.100726812682396,-7.046240308266771,-7.092588639225414,-7.018634490921456,-7.120330794367947,-7.06,0.06
55855.49998842592,2.58,2.52,2.72,2.27,2.98,3.48,2.75,0.39,-6.939302159646388,-7.087246696328677,-7.100726812682396,-7.046240308266771,-7.092588639225414,-7.018634490921456,-7.05,0.06
55890.49998842592,2.73,2.58,2.52,2.72,2.27,2.98,2.76,0.4,-7.092051478387727,-6.939302159646388,-7.087246696328677,-7.100726812682396,-7.046240308266771,-7.092588639225414,-7.05,0.06
55897.49998842592,3.51,2.73,2.58,2.52,2.72,2.27,2.72,0.38,-6.995678626217358,-7.092051478387727,-6.939302159646388,-7.087246696328677,-7.100726812682396,-7.046240308266771,-7.04,0.06
55953.49998842592,2.74,3.51,2.73,2.58,2.52,2.72,3.02,0.68,-7.017728766960432,-6.995678626217358,-7.092051478387727,-6.939302159646388,-7.087246696328677,-7.100726812682396,-7.02,0.08
56044.49998842592,4.37,2.74,3.51,2.73,2.58,2.52,3.0,0.69,-6.903089986991944,-7.017728766960432,-6.995678626217358,-7.092051478387727,-6.939302159646388,-7.087246696328677,-7.01,0.07
56114.499976851854,2.58,4.37,2.74,3.51,2.73,2.58,2.98,0.71,-7.066006836168758,-6.903089986991944,-7.017728766960432,-6.995678626217358,-7.092051478387727,-6.939302159646388,-7.02,0.08
56380.499976851854,2.38,2.58,4.37,2.74,3.51,2.73,3.09,0.69,-7.100726812682396,-7.066006836168758,-6.903089986991944,-7.017728766960432,-6.995678626217358,-7.092051478387727,-7.02,0.08
56464.499976851854,3.29,2.38,2.58,4.37,2.74,3.51,3.1,0.69,-6.931814138253839,-7.100726812682396,-7.066006836168758,-6.903089986991944,-7.017728766960432,-6.995678626217358,-7.01,0.07
56590.499976851854,2.8,3.29,2.38,2.58,4.37,2.74,3.3,0.98,-7.027797161620936,-6.931814138253839,-7.100726812682396,-7.066006836168758,-6.903089986991944,-7.017728766960432,-7.02,0.07
56611.499976851854,4.94,2.8,3.29,2.38,2.58,4.37,3.33,0.96,-7.063486257521107,-7.027797161620936,-6.931814138253839,-7.100726812682396,-7.066006836168758,-6.903089986991944,-7.01,0.07
56758.499976851854,2.93,4.94,2.8,3.29,2.38,2.58,3.33,0.96,-6.982966660701219,-7.063486257521107,-7.027797161620936,-6.931814138253839,-7.100726812682396,-7.066006836168758,-7.02,0.06
56814.499976851854,4.37,2.93,4.94,2.8,3.29,2.38,3.71,1.13,-6.978810700930062,-6.982966660701219,-7.063486257521107,-7.027797161620936,-6.931814138253839,-7.100726812682396,-7.02,0.06
56933.499976851854,5.25,4.37,2.93,4.94,2.8,3.29,3.78,1.05,-7.0675262353228465,-6.978810700930062,-6.982966660701219,-7.063486257521107,-7.027797161620936,-6.931814138253839,-7.01,0.05
56954.499976851854,2.87,5.25,4.37,2.93,4.94,2.8,3.8,1.04,-7.024568191490737,-7.0675262353228465,-6.978810700930062,-6.982966660701219,-7.063486257521107,-7.027797161620936,-6.99,0.1
56961.499976851854,3.41,2.87,5.25,4.37,2.93,4.94,3.84,1.0,-6.774690718274137,-7.024568191490737,-7.0675262353228465,-6.978810700930062,-6.982966660701219,-7.063486257521107,-6.97,0.1
56982.499976851854,3.12,3.41,2.87,5.25,4.37,2.93,3.49,0.98,-6.924453038607469,-6.774690718274137,-7.024568191490737,-7.0675262353228465,-6.978810700930062,-6.982966660701219,-6.97,0.1
57129.499976851854,2.47,3.12,3.41,2.87,5.25,4.37,3.39,1.08,-7.062983892535186,-6.924453038607469,-6.774690718274137,-7.024568191490737,-7.0675262353228465,-6.978810700930062,-6.95,0.11
57136.499976851854,2.23,2.47,3.12,3.41,2.87,5.25,3.06,1.08,-6.841637507904751,-7.062983892535186,-6.924453038607469,-6.774690718274137,-7.024568191490737,-7.0675262353228465,-6.96,0.12
57143.499976851854,2.09,2.23,2.47,3.12,3.41,2.87,2.62,0.52,-7.018634490921456,-6.841637507904751,-7.062983892535186,-6.924453038607469,-6.774690718274137,-7.024568191490737,-6.94,0.1
57192.499976851854,2.16,2.09,2.23,2.47,3.12,3.41,2.52,0.53,-6.958607314841775,-7.018634490921456,-6.841637507904751,-7.062983892535186,-6.924453038607469,-6.774690718274137,-6.95,0.11
57199.499976851854,2.15,2.16,2.09,2.23,2.47,3.12,2.39,0.36,-7.068542129310995,-6.958607314841775,-7.018634490921456,-6.841637507904751,-7.062983892535186,-6.924453038607469,-6.99,0.08
57234.49996527778,2.49,2.15,2.16,2.09,2.23,2.47,2.49,0.62,-7.047691990337875,-7.068542129310995,-6.958607314841775,-7.018634490921456,-6.841637507904751,-7.062983892535186,-7.0,0.08
57304.49996527778,3.85,2.49,2.15,2.16,2.09,2.23,2.46,0.63,-6.97061622231479,-7.047691990337875,-7.068542129310995,-6.958607314841775,-7.018634490921456,-6.841637507904751,-6.99,0.07
57311.49996527778,2.25,3.85,2.49,2.15,2.16,2.09,2.46,0.62,-7.0,-6.97061622231479,-7.047691990337875,-7.068542129310995,-6.958607314841775,-7.018634490921456,-7.0,0.05
57318.49996527778,2.26,2.25,3.85,2.49,2.15,2.16,2.5,0.61,-6.920818753952375,-7.0,-6.97061622231479,-7.047691990337875,-7.068542129310995,-6.958607314841775,-6.99,0.05
57353.49996527778,2.36,2.26,2.25,3.85,2.49,2.15,2.58,0.59,-6.966576244513051,-6.920818753952375,-7.0,-6.97061622231479,-7.047691990337875,-7.068542129310995,-7.01,0.06
57465.49996527778,2.69,2.36,2.26,2.25,3.85,2.49,2.72,0.59,-7.097453220686009,-6.966576244513051,-6.920818753952375,-7.0,-6.97061622231479,-7.047691990337875,-7.01,0.07
