#MJD,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3
57017.499976851854,2.46,2.63,2.84,3.36,1.42,-7.06198090252379,-7.0746879085003505,-7.223298816011589,-7.05,0.04
57059.499976851854,5.0,2.46,2.63,3.54,1.31,-7.002613615602686,-7.06198090252379,-7.0746879085003505,-7.05,0.04
57066.499976851854,3.15,5.0,2.46,4.07,0.93,-7.0762380391713,-7.002613615602686,-7.06198090252379,-7.06,0.05
57073.499976851854,4.05,3.15,5.0,3.45,0.52,-7.088842391260023,-7.0762380391713,-7.002613615602686,-7.05,0.06
57108.499976851854,3.14,4.05,3.15,3.04,1.07,-6.987162775294828,-7.088842391260023,-7.0762380391713,-7.03,0.05
57115.499976851854,1.92,3.14,4.05,2.35,0.69,-7.006563769502388,-6.987162775294828,-7.088842391260023,-7.06,0.11
57178.499976851854,1.98,1.92,3.14,2.32,0.64,-7.187755303199631,-7.006563769502388,-6.987162775294828,-7.11,0.09
57192.499976851854,3.06,1.98,1.92,2.58,0.55,-7.126679398184601,-7.187755303199631,-7.006563769502388,-7.15,0.03
57199.499976851854,2.7,3.06,1.98,2.71,0.35,-7.141462802430361,-7.126679398184601,-7.187755303199631,-7.12,0.03
57206.49996527778,2.36,2.7,3.06,2.6,0.21,-7.090979145788844,-7.141462802430361,-7.126679398184601,-6.98,0.24
57213.49996527778,2.74,2.36,2.7,2.47,0.24,-6.709965388637482,-7.090979145788844,-7.141462802430361,-6.88,0.19
57220.49996527778,2.31,2.74,2.36,2.39,0.32,-6.841637507904751,-6.709965388637482,-7.090979145788844,-6.8,0.08
57227.49996527778,2.12,2.31,2.74,2.21,0.1,-6.841637507904751,-6.841637507904751,-6.709965388637482,-6.78,0.11
57234.49996527778,2.21,2.12,2.31,2.38,0.38,-6.649751981665837,-6.841637507904751,-6.841637507904751,-6.79,0.13
57241.49996527778,2.81,2.21,2.12,2.54,0.31,-6.889410289700751,-6.649751981665837,-6.841637507904751,-6.79,0.13
57248.49996527778,2.61,2.81,2.21,2.56,0.27,-6.838631997765025,-6.889410289700751,-6.649751981665837,-6.82,0.08
57255.49996527778,2.27,2.61,2.81,2.41,0.18,-6.739928612014925,-6.838631997765025,-6.889410289700751,-6.79,0.05
57262.49996527778,2.36,2.27,2.61,2.37,0.11,-6.795880017344075,-6.739928612014925,-6.838631997765025,-6.78,0.04
57269.49996527778,2.49,2.36,2.27,2.28,0.26,-6.806875401645539,-6.795880017344075,-6.739928612014925,-6.84,0.08
57276.49996527778,1.99,2.49,2.36,2.31,0.28,-6.931814138253839,-6.806875401645539,-6.795880017344075,-6.93,0.13
57283.49996527778,2.45,1.99,2.49,2.19,0.23,-7.060980223551334,-6.931814138253839,-6.806875401645539,-7.08,0.15
57311.49996527778,2.14,2.45,1.99,3.2,1.57,-7.238824186844268,-7.060980223551334,-6.931814138253839,-7.11,0.11
57318.49996527778,5.0,2.14,2.45,3.22,1.56,-7.0400051616715835,-7.238824186844268,-7.060980223551334,-7.18,0.12
57339.49996527778,2.51,5.0,2.14,3.41,1.38,-7.266000713461613,-7.0400051616715835,-7.238824186844268,-7.02,0.26
57360.49996527778,2.73,2.51,5.0,2.54,0.18,-6.752026733638194,-7.266000713461613,-7.0400051616715835,-6.93,0.29
57367.49996527778,2.37,2.73,2.51,2.44,0.27,-6.761953896871205,-6.752026733638194,-7.266000713461613,-6.81,0.09
57374.49996527778,2.21,2.37,2.73,2.24,0.12,-6.906578314837765,-6.761953896871205,-6.752026733638194,-6.88,0.1
57381.49996527778,2.13,2.21,2.37,2.07,0.18,-6.958607314841775,-6.906578314837765,-6.761953896871205,-6.82,0.19
57388.49996527778,1.87,2.13,2.21,2.05,0.15,-6.607303046740334,-6.958607314841775,-6.906578314837765,-6.7,0.22
57395.49996527778,2.14,1.87,2.13,1.99,0.14,-6.543633966870957,-6.607303046740334,-6.958607314841775,-6.45,0.21
57402.49996527778,1.95,2.14,1.87,1.98,0.14,-6.211831628858833,-6.543633966870957,-6.607303046740334,-6.31,0.2
57409.49996527778,1.86,1.95,2.14,1.89,0.06,-6.18111458540599,-6.211831628858833,-6.543633966870957,-6.28,0.14
57416.49996527778,1.85,1.86,1.95,1.97,0.19,-6.444905551421681,-6.18111458540599,-6.211831628858833,-6.48,0.31
57423.49996527778,2.19,1.85,1.86,2.13,0.26,-6.801342913045577,-6.444905551421681,-6.18111458540599,-6.64,0.18
57430.49996527778,2.35,2.19,1.85,2.39,0.22,-6.681936665037238,-6.801342913045577,-6.444905551421681,-6.75,0.06
57437.49996527778,2.62,2.35,2.19,2.53,0.16,-6.767003889607846,-6.681936665037238,-6.801342913045577,-6.75,0.06
57444.49996527778,2.62,2.62,2.35,2.64,0.03,-6.795880017344075,-6.767003889607846,-6.681936665037238,-6.8,0.04
57451.49996527778,2.68,2.62,2.62,2.7,0.1,-6.847711655616943,-6.795880017344075,-6.767003889607846,-6.87,0.09
57465.49996527778,2.81,2.68,2.62,3.05,0.53,-6.962573502059376,-6.847711655616943,-6.795880017344075,-6.82,0.15
57472.49996527778,3.65,2.81,2.68,3.21,0.42,-6.663540266151471,-6.962573502059376,-6.847711655616943,-6.93,0.26
57486.49996527778,3.17,3.65,2.81,3.32,0.29,-7.17134010346468,-6.663540266151471,-6.962573502059376,-7.01,0.3
57493.49996527778,3.13,3.17,3.65,2.91,0.42,-7.184422251675732,-7.17134010346468,-6.663540266151471,-7.13,0.09
57514.49996527778,2.43,3.13,3.17,2.47,0.64,-7.022733787572707,-7.184422251675732,-7.17134010346468,-7.15,0.12
57521.49996527778,1.85,2.43,3.13,2.18,0.3,-7.249491605148654,-7.022733787572707,-7.184422251675732,-6.99,0.27
57528.49996527778,2.26,1.85,2.43,2.13,0.24,-6.709965388637482,-7.249491605148654,-7.022733787572707,-6.87,0.33
57535.49996527778,2.27,2.26,1.85,2.41,0.25,-6.636388020107856,-6.709965388637482,-7.249491605148654,-6.76,0.16
57542.49996527778,2.7,2.27,2.26,2.44,0.23,-6.939302159646388,-6.636388020107856,-6.709965388637482,-6.83,0.17
57549.49996527778,2.35,2.7,2.27,2.55,0.18,-6.920818753952375,-6.939302159646388,-6.636388020107856,-6.96,0.06
57563.49996527778,2.61,2.35,2.7,2.5,0.14,-7.024568191490737,-6.920818753952375,-6.939302159646388,-6.9,0.14
57570.49996527778,2.55,2.61,2.35,2.52,0.11,-6.7544873321858505,-7.024568191490737,-6.920818753952375,-6.94,0.16
57584.49996527778,2.4,2.55,2.61,2.55,0.15,-7.027334407733889,-6.7544873321858505,-7.024568191490737,-7.02,0.26
57619.49996527778,2.7,2.4,2.55,3.31,1.32,-7.283162276700476,-7.027334407733889,-6.7544873321858505,-6.98,0.34
57640.49996527778,4.83,2.7,2.4,4.18,1.28,-6.617982957425132,-7.283162276700476,-7.027334407733889,-7.0,0.34
57654.49996527778,5.0,4.83,2.7,4.09,1.43,-7.105683937315561,-6.617982957425132,-7.283162276700476,-6.94,0.28
57745.49996527778,2.45,5.0,4.83,3.49,1.34,-7.096910013008056,-7.105683937315561,-6.617982957425132,-7.14,0.06
57773.4999537037,3.02,2.45,5.0,3.06,0.63,-7.2076083105017466,-7.096910013008056,-7.105683937315561,-6.99,0.28
57836.4999537037,3.71,3.02,2.45,3.29,0.37,-6.679853713888946,-7.2076083105017466,-7.096910013008056,-6.96,0.27
57843.4999537037,3.13,3.71,3.02,3.29,0.37,-6.987162775294828,-6.679853713888946,-7.2076083105017466,-6.92,0.22
57850.4999537037,3.03,3.13,3.71,2.95,0.24,-7.0996328713435295,-6.987162775294828,-6.679853713888946,-7.0,0.09
57871.4999537037,2.68,3.03,3.13,3.57,1.25,-6.928117992693875,-7.0996328713435295,-6.987162775294828,-6.92,0.19
57885.4999537037,5.0,2.68,3.03,3.32,1.47,-6.718966632752273,-6.928117992693875,-7.0996328713435295,-6.93,0.21
57955.4999537037,2.29,5.0,2.68,3.52,1.37,-7.13430394008393,-6.718966632752273,-6.928117992693875,-7.02,0.26
57997.4999537037,3.26,2.29,5.0,2.75,0.49,-7.201349354554731,-7.13430394008393,-6.718966632752273,-7.18,0.04
58004.4999537037,2.7,3.26,2.29,2.89,0.32,-7.199970640755866,-7.201349354554731,-7.13430394008393,-7.22,0.04
58011.4999537037,2.72,2.7,3.26,2.48,0.39,-7.27083521030723,-7.199970640755866,-7.201349354554731,-7.25,0.04
58116.4999537037,2.03,2.72,2.7,3.25,1.55,-7.279840696594043,-7.27083521030723,-7.199970640755866,-7.2,0.13
58123.4999537037,5.0,2.03,2.72,3.38,1.5,-7.043831569524636,-7.279840696594043,-7.27083521030723,-7.14,0.13
58228.4999537037,3.1,5.0,2.03,3.67,1.15,-7.082494490447453,-7.043831569524636,-7.279840696594043,-7.1,0.07
58235.4999537037,2.92,3.1,5.0,2.91,0.2,-7.175223537524454,-7.082494490447453,-7.043831569524636,-7.16,0.07
58438.4999537037,2.7,2.92,3.1,3.07,0.47,-7.217527375833714,-7.175223537524454,-7.082494490447453,-7.01,0.33
58445.4999537037,3.6,2.7,2.92,2.77,0.79,-6.6252516539898965,-7.217527375833714,-7.175223537524454,-6.88,0.31
58473.4999537037,2.02,3.6,2.7,3.54,1.49,-6.782516055786093,-6.6252516539898965,-7.217527375833714,-6.8,0.19
58487.4999537037,5.0,2.02,3.6,4.01,1.72,-6.995678626217358,-6.782516055786093,-6.6252516539898965,-6.89,0.11
58515.4999537037,5.0,5.0,2.02,4.2,1.39,-6.87942606879415,-6.995678626217358,-6.782516055786093,-7.02,0.16
58613.4999537037,2.59,5.0,5.0,3.54,1.28,-7.196542884351586,-6.87942606879415,-6.995678626217358,-7.01,0.17
58627.4999537037,3.04,2.59,5.0,3.54,1.28,-6.950781977329818,-7.196542884351586,-6.87942606879415,-6.99,0.19
58767.4999537037,5.0,3.04,2.59,3.61,1.21,-6.818156412055227,-6.950781977329818,-7.196542884351586,-6.96,0.14
58774.4999537037,2.79,5.0,3.04,4.26,1.28,-7.099086932262331,-6.818156412055227,-6.950781977329818,-6.88,0.2
58788.4999537037,5.0,2.79,5.0,3.48,1.32,-6.718966632752273,-7.099086932262331,-6.818156412055227,-6.92,0.19
58879.4999537037,2.65,5.0,2.79,3.35,1.44,-6.939302159646388,-6.718966632752273,-7.099086932262331,-6.95,0.23
58886.4999537037,2.39,2.65,5.0,2.46,0.16,-7.1778319206319825,-6.939302159646388,-6.718966632752273,-7.02,0.13
58893.4999537037,2.35,2.39,2.65,2.46,0.15,-6.954677021213342,-7.1778319206319825,-6.939302159646388,-7.01,0.15
58900.4999537037,2.63,2.35,2.39,2.4,0.21,-6.903089986991944,-6.954677021213342,-7.1778319206319825,-6.96,0.06
58914.4999537037,2.22,2.63,2.35,2.46,0.21,-7.024108863598207,-6.903089986991944,-6.954677021213342,-7.02,0.12
58921.4999537037,2.52,2.22,2.63,2.29,0.2,-7.139063379299906,-7.024108863598207,-6.903089986991944,-7.11,0.08
59019.4999537037,2.14,2.52,2.22,2.74,0.74,-7.165579296318468,-7.139063379299906,-7.024108863598207,-7.11,0.07
59082.4999537037,3.57,2.14,2.52,2.68,0.78,-7.0301183562535,-7.165579296318468,-7.139063379299906,-7.1,0.07
59089.4999537037,2.32,3.57,2.14,2.75,0.71,-7.112945621949043,-7.0301183562535,-7.165579296318468,-7.08,0.04
59096.4999537037,2.37,2.32,3.57,2.31,0.07,-7.086716098239582,-7.112945621949043,-7.0301183562535,-7.13,0.05
59117.4999537037,2.23,2.37,2.32,2.47,0.3,-7.185752404268079,-7.086716098239582,-7.112945621949043,-7.14,0.05
59131.4999537037,2.8,2.23,2.37,2.55,0.29,-7.154281982033341,-7.185752404268079,-7.086716098239582,-7.01,0.27
59138.4999537037,2.63,2.8,2.23,2.64,0.16,-6.694648630553377,-7.154281982033341,-7.185752404268079,-6.94,0.23
59145.4999537037,2.49,2.63,2.8,2.25,0.54,-6.982966660701219,-6.694648630553377,-7.154281982033341,-6.97,0.27
59166.4999537037,1.63,2.49,2.63,2.02,0.44,-7.23210238398191,-6.982966660701219,-6.694648630553377,-7.11,0.12
59180.4999537037,1.94,1.63,2.49,1.81,0.16,-7.118615343229427,-7.23210238398191,-6.982966660701219,-7.21,0.08
59194.4999537037,1.85,1.94,1.63,2.01,0.2,-7.265200170411153,-7.118615343229427,-7.23210238398191,-7.19,0.07
59208.4999537037,2.23,1.85,1.94,2.12,0.23,-7.1771783546968955,-7.265200170411153,-7.118615343229427,-7.14,0.14
59229.4999537037,2.27,2.23,1.85,2.16,0.15,-6.987162775294828,-7.1771783546968955,-7.265200170411153,-7.03,0.14
59236.4999537037,1.99,2.27,2.23,2.29,0.31,-6.913640169325252,-6.987162775294828,-7.1771783546968955,-6.88,0.13
59243.4999537037,2.6,1.99,2.27,2.65,0.69,-6.730487055782084,-6.913640169325252,-6.987162775294828,-6.85,0.1
59250.4999537037,3.37,2.6,1.99,2.72,0.6,-6.896196279044043,-6.730487055782084,-6.913640169325252,-6.86,0.11
59264.4999537037,2.19,3.37,2.6,2.38,0.91,-6.939302159646388,-6.896196279044043,-6.730487055782084,-7.03,0.19
59271.4999537037,1.57,2.19,3.37,1.81,0.33,-7.243363891754152,-6.939302159646388,-6.896196279044043,-7.1,0.15
59278.4999537037,1.68,1.57,2.19,1.8,0.3,-7.102922996790579,-7.243363891754152,-6.939302159646388,-7.1,0.14
59285.4999537037,2.14,1.68,1.57,2.21,0.57,-6.966576244513051,-7.102922996790579,-7.243363891754152,-6.98,0.11
59299.4999537037,2.81,2.14,1.68,2.27,0.49,-6.876148359032914,-6.966576244513051,-7.102922996790579,-6.98,0.11
59313.4999537037,1.86,2.81,2.14,2.22,0.52,-7.0996328713435295,-6.876148359032914,-6.966576244513051,-6.91,0.18
59320.4999537037,1.99,1.86,2.81,2.06,0.24,-6.749579997691106,-7.0996328713435295,-6.876148359032914,-6.89,0.18
59341.4999537037,2.32,1.99,1.86,2.05,0.25,-6.8297382846050425,-6.749579997691106,-7.0996328713435295,-6.66,0.23
59348.4999537037,1.84,2.32,1.99,2.12,0.25,-6.391473966422806,-6.8297382846050425,-6.749579997691106,-6.55,0.25
59355.4999537037,2.2,1.84,2.32,1.95,0.22,-6.4179366370882915,-6.391473966422806,-6.8297382846050425,-6.47,0.11
59362.4999537037,1.8,2.2,1.84,2.03,0.21,-6.598599459218456,-6.4179366370882915,-6.391473966422806,-6.42,0.18
59369.4999537037,2.08,1.8,2.2,1.94,0.14,-6.232844133917819,-6.598599459218456,-6.4179366370882915,-6.57,0.33
59376.4999537037,1.95,2.08,1.8,2.05,0.09,-6.882728704344236,-6.232844133917819,-6.598599459218456,-6.7,0.41
59383.4999537037,2.13,1.95,2.08,1.92,0.23,-6.978810700930062,-6.882728704344236,-6.232844133917819,-7.0,0.13
59390.4999537037,1.68,2.13,1.95,2.11,0.43,-7.135488918941608,-6.978810700930062,-6.882728704344236,-7.04,0.09
59397.4999537037,2.53,1.68,2.13,2.56,0.9,-6.991399828238082,-7.135488918941608,-6.978810700930062,-7.04,0.08
59404.4999537037,3.47,2.53,1.68,2.87,0.52,-6.987162775294828,-6.991399828238082,-7.135488918941608,-7.05,0.1
