#MJD,flux_change_target,flux_target,flux_current_for_recon
55393.49998842592,0.24503311258278138,7.52e-08,6.04e-08
55421.49998842592,0.14095744680851063,8.58e-08,7.52e-08
55428.49998842592,-0.32867132867132864,5.76e-08,8.58e-08
55449.49998842592,3.322916666666667,2.49e-07,5.76e-08
55456.49998842592,1.0522088353413652,5.11e-07,2.49e-07
55463.49998842592,-0.7514677103718199,1.27e-07,5.11e-07
55470.49998842592,0.1811023622047243,1.5e-07,1.27e-07
55477.49998842592,-0.05333333333333323,1.42e-07,1.5e-07
55491.49998842592,0.04225352112676051,1.48e-07,1.42e-07
55547.49998842592,-0.5547297297297298,6.59e-08,1.48e-07
55589.49998842592,-0.08649468892261003,6.02e-08,6.59e-08
55673.49998842592,1.7740863787375418,1.67e-07,6.02e-08
55813.49998842592,-0.041916167664670656,1.6e-07,1.67e-07
55855.49998842592,-0.423125,9.23e-08,1.6e-07
55883.49998842592,-0.267605633802817,6.76e-08,9.23e-08
55911.49998842592,2.698224852071006,2.5e-07,6.76e-08
55918.49998842592,-0.708,7.3e-08,2.5e-07
55925.49998842592,-0.05342465753424663,6.91e-08,7.3e-08
55932.49998842592,0.9536903039073805,1.35e-07,6.91e-08
55960.49998842592,-0.20000000000000007,1.08e-07,1.35e-07
55974.49998842592,0.0185185185185186,1.1e-07,1.08e-07
55981.49998842592,0.6363636363636362,1.8e-07,1.1e-07
55988.49998842592,-0.6533333333333333,6.24e-08,1.8e-07
55995.49998842592,0.8429487179487178,1.15e-07,6.24e-08
56009.49998842592,-0.5391304347826087,5.3e-08,1.15e-07
56016.49998842592,0.6018867924528302,8.49e-08,5.3e-08
56030.49998842592,-0.03769140164899887,8.17e-08,8.49e-08
56044.49998842592,-0.004895960832313362,8.13e-08,8.17e-08
56051.49998842592,-0.04674046740467397,7.75e-08,8.13e-08
56058.49998842592,1.1419354838709679,1.66e-07,7.75e-08
56072.49998842592,-0.6710843373493975,5.46e-08,1.66e-07
56079.49998842592,0.03296703296703307,5.64e-08,5.46e-08
56100.49998842592,1.6595744680851063,1.5e-07,5.64e-08
56121.499976851854,-0.2666666666666666,1.1e-07,1.5e-07
56226.499976851854,-0.09818181818181826,9.92e-08,1.1e-07
56352.499976851854,0.35080645161290325,1.34e-07,9.92e-08
56359.499976851854,-0.38507462686567173,8.24e-08,1.34e-07
56373.499976851854,0.06553398058252435,8.78e-08,8.24e-08
56380.499976851854,-0.0694760820045559,8.17e-08,8.78e-08
56415.499976851854,0.517747858017136,1.24e-07,8.17e-08
56429.499976851854,-0.36935483870967745,7.82e-08,1.24e-07
56471.499976851854,-0.34271099744245526,5.14e-08,7.82e-08
56478.499976851854,0.8832684824902726,9.68e-08,5.14e-08
56492.499976851854,-0.04338842975206625,9.26e-08,9.68e-08
56506.499976851854,-0.035637149028077686,8.93e-08,9.26e-08
56513.499976851854,0.3885778275475924,1.24e-07,8.93e-08
56520.499976851854,-0.5870967741935484,5.12e-08,1.24e-07
56527.499976851854,0.39453125,7.14e-08,5.12e-08
56541.499976851854,0.2717086834733893,9.08e-08,7.14e-08
