#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
56415.499976851854,8.78e-08,8.24e-08,1.34e-07,0.0,0.0,2.6,2.75,2.39,2.56,0.21
56429.499976851854,8.17e-08,8.78e-08,8.24e-08,0.0,0.0,2.33,2.6,2.75,2.55,0.2
56471.499976851854,1.24e-07,8.17e-08,8.78e-08,0.0,0.0,2.72,2.33,2.6,2.59,0.23
56478.499976851854,7.82e-08,1.24e-07,8.17e-08,0.0,0.0,2.73,2.72,2.33,2.56,0.29
56492.499976851854,5.14e-08,7.82e-08,1.24e-07,0.0,0.0,2.23,2.73,2.72,2.65,0.38
56506.499976851854,9.68e-08,5.14e-08,7.82e-08,0.0,0.0,2.98,2.23,2.73,2.6,0.38
56513.499976851854,9.26e-08,9.68e-08,5.14e-08,0.0,0.0,2.59,2.98,2.23,2.7,0.24
56520.499976851854,8.93e-08,9.26e-08,9.68e-08,0.0,0.0,2.53,2.59,2.98,3.03,0.82
56527.499976851854,1.24e-07,8.93e-08,9.26e-08,0.0,0.0,3.98,2.53,2.59,2.93,0.91
56541.499976851854,5.12e-08,1.24e-07,8.93e-08,0.0,0.0,2.29,3.98,2.53,3.03,0.87
56562.499976851854,7.14e-08,5.12e-08,1.24e-07,0.0,0.0,2.81,2.29,3.98,2.62,0.29
56653.499976851854,9.08e-08,7.14e-08,5.12e-08,0.0,0.0,2.76,2.81,2.29,3.24,0.78
56674.499976851854,2.2e-07,9.08e-08,7.14e-08,0.0,0.0,4.14,2.76,2.81,3.34,0.71
56709.499976851854,1.19e-07,2.2e-07,9.08e-08,0.0,0.0,3.13,4.14,2.76,3.99,0.8
56716.499976851854,1.45e-07,1.19e-07,2.2e-07,0.0,0.0,4.71,3.13,4.14,3.59,0.98
56723.499976851854,1.53e-07,1.45e-07,1.19e-07,0.0,0.0,2.93,4.71,3.13,3.97,0.93
