#MJD,index_change_target,index_target,index_current_for_recon
59418.4999537037,-0.34999999999999964,3.43,3.78
59453.4999537037,1.5699999999999998,5.0,3.43
59467.4999537037,0.0,5.0,5.0
59495.4999537037,0.0,5.0,5.0
59509.4999537037,0.0,5.0,5.0
59530.4999537037,-0.5999999999999996,4.4,5.0
59537.4999537037,-0.3800000000000008,4.02,4.4
59579.4999537037,-2.7699999999999996,1.25,4.02
59586.4999537037,3.5199999999999996,4.77,1.25
59698.4999537037,0.23000000000000043,5.0,4.77
59705.4999537037,0.0,5.0,5.0
59754.4999537037,-0.4299999999999997,4.57,5.0
59761.4999537037,-2.99,1.58,4.57
59803.4999537037,2.07,3.65,1.58
59880.4999537037,-0.21999999999999975,3.43,3.65
59887.4999537037,0.5299999999999998,3.96,3.43
59901.4999537037,1.04,5.0,3.96
59908.4999537037,0.0,5.0,5.0
59978.4999537037,-1.67,3.33,5.0
59992.4999537037,-0.6000000000000001,2.73,3.33
60020.4999537037,2.27,5.0,2.73
60076.4999537037,0.0,5.0,5.0
60090.4999537037,-3.17,1.83,5.0
60139.4999537037,3.17,5.0,1.83
60230.4999537037,0.0,5.0,5.0
60237.4999537037,-1.17,3.83,5.0
60244.4999537037,-3.48,0.35,3.83
60258.4999537037,4.65,5.0,0.35
60272.4999537037,0.0,5.0,5.0
60279.4999537037,-0.17999999999999972,4.82,5.0
60293.4999537037,-4.640000000000001,0.18,4.82
60300.4999537037,2.13,2.31,0.18
60356.4999537037,2.69,5.0,2.31
60384.4999537037,0.0,5.0,5.0
60391.4999537037,0.0,5.0,5.0
60405.4999537037,-0.2400000000000002,4.76,5.0
60433.4999537037,-1.3499999999999996,3.41,4.76
60440.4999537037,0.6399999999999997,4.05,3.41
60475.4999537037,-3.4499999999999997,0.6,4.05
60496.4999537037,1.7799999999999998,2.38,0.6
60503.4999537037,1.7300000000000004,4.11,2.38
60510.4999537037,-1.87,2.24,4.11
60531.4999537037,0.05999999999999961,2.3,2.24
60566.4999537037,2.7,5.0,2.3
60594.4999537037,0.0,5.0,5.0
60615.4999537037,0.0,5.0,5.0
60636.4999537037,-0.08000000000000007,4.92,5.0
60643.4999537037,-1.9,3.02,4.92
60741.4999537037,-1.12,1.9,3.02
60748.4999537037,3.1,5.0,1.9
60790.4999537037,0.0,5.0,5.0
60797.4999537037,-0.4400000000000004,4.56,5.0
60825.4999537037,0.4400000000000004,5.0,4.56
60923.4999537037,-1.88,3.12,5.0
60930.4999537037,-0.20000000000000018,2.92,3.12
60937.4999537037,0.18999999999999995,3.11,2.92
60979.4999537037,1.8900000000000001,5.0,3.11
61007.4999537037,0.0,5.0,5.0
